subject_id,condition,videos_started,videos_stopped,vigilance_time_sec,vigilance_time_min,flagged_inattentive
sub73,NB,1536.9698787000088,1570.442893200001,33.47301449999213,0.5578835749998688,False
sub74,NB,1522.769243200004,1555.1040052000026,32.33476199999859,0.5389126999999765,False
sub75,NB,1545.7140892000025,1582.9488120000024,37.23472279999987,0.6205787133333313,False
sub76,NB,1530.919641299988,1565.4218118000135,34.50217050002561,0.5750361750004269,False
sub77,NB,1527.674617599987,1563.0111612000037,35.33654360001674,0.5889423933336123,False
sub78,NB,1510.7880145999952,1536.0900434000068,25.302028800011612,0.42170048000019356,False
sub79,NB,1540.3921487000189,1569.0626093000174,28.670460599998478,0.47784100999997464,False
sub80,NB,1515.8830332999933,1564.5206748999772,48.63764159998391,0.8106273599997318,False
sub81,NB,1610.358434499998,1611.4167660000094,1.0583315000112634,0.01763885833352106,False
sub82,NB,1538.2777750999958,1566.478837599978,28.2010624999823,0.4700177083330383,False
sub83,NB,1535.5015980000026,1554.3347900999945,18.833192099991948,0.3138865349998658,False
sub84,NB,1547.2849413999938,1584.4861656999856,37.201224299991736,0.6200204049998622,False
sub85,NB,1528.823827699991,1553.7585689999978,24.934741300006863,0.41557902166678107,False
sub86,NB,1554.4167468999804,1555.9697325999732,1.5529856999928597,0.025883094999880996,False
sub87,NB,1504.554426000017,1553.190834900015,48.63640889999806,0.8106068149999677,False
sub88,AB,1543.4031723000226,1572.7748835000093,29.37171119998675,0.48952851999977914,False
sub89,AB,1510.8978773999845,1561.2331441999995,50.335266800015006,0.8389211133335834,False
sub90,AB,1489.4741846999968,1528.9096550999966,39.43547039999976,0.657257839999996,False
sub91,AB,1612.515062099992,1618.0713783999963,5.556316300004255,0.09260527166673758,False
sub92,AB,1543.6347907000163,1577.936629600008,34.30183889999171,0.5716973149998618,False
sub93,AB,1525.169956400001,1549.4064293999982,24.236472999997204,0.4039412166666201,False
sub94,AB,1563.2533894999942,1565.8979292000004,2.644539700006135,0.04407566166676891,False
sub95,AB,1500.4860529999714,1548.0868088999996,47.60075590002816,0.7933459316671361,False
sub96,AB,1563.4536856000195,1568.9878797000274,5.5341941000078805,0.09223656833346468,False
sub97,AB,1520.0755453999736,1559.876181199972,39.80063579999842,0.6633439299999736,False
sub98,AB,1559.1455322999973,1609.0135659999796,49.868033699982334,0.8311338949997056,False
sub99,AB,1527.9917187999818,1547.4643372999851,19.472618500003364,0.3245436416667227,False
