subject_id,condition,videos_started,videos_stopped,vigilance_time_sec,vigilance_time_min,flagged_inattentive
sub41,AB,1556.335187500008,1591.003112799997,34.667925299989065,0.5777987549998177,False
sub43,NB,1513.453840800008,1550.6536970000016,37.19985619999352,0.6199976033332253,False
sub100,AB,1532.2994200999965,1566.968962199986,34.669542099989485,0.5778257016664914,False
sub101,AB,1551.6715864000143,1579.5078495999917,27.83626319997734,0.4639377199996223,False
sub102,AB,1505.5458333000424,1506.669122399995,1.1232890999526717,0.018721484999211193,False
sub103,AB,1501.251300600008,1543.5894375000498,42.33813690004172,0.7056356150006953,False
sub104,AB,1509.8597922000336,1541.763387700019,31.903595499985386,0.5317265916664231,False
sub105,AB,1557.121385300008,1581.9229007000104,24.801515400002472,0.4133585900000412,False
sub106,AB,1531.2707299999893,1555.5060620000004,24.235332000011113,0.4039222000001852,False
sub107,AB,1497.6673622999806,1525.4708501999849,27.803487900004257,0.46339146500007095,False
sub108,AB,1569.5236113999854,1590.3602841999964,20.836672800011,0.34727788000018334,False
sub109,AB,1549.9781578000402,1586.5132668000297,36.53510899998946,0.6089184833331577,False
sub110,AB,1515.7275339000043,1559.9986417999608,44.271107899956405,0.7378517983326067,False
sub111,AB,1555.2225640999968,1574.5243081999945,19.301744099997677,0.3216957349999613,False
sub112,AB,1567.2507245999875,1574.9076922999811,7.656967699993629,0.12761612833322716,False
sub113,AB,1593.0621107000045,1599.0353780000005,5.973267299995996,0.09955445499993326,False
sub114,AB,1546.2269502999843,1588.196500199963,41.9695498999788,0.69949249833298,False
sub115,AB,1503.3456058999873,1539.347525099991,36.00191920000361,0.6000319866667269,False
sub116,AB,1530.2019096000004,1534.8152169999669,4.613307399966516,0.07688845666610859,False
sub117,AB,1525.8641621000131,1528.5920343000323,2.727872200019192,0.045464536666986535,False
sub118,AB,1478.4667064999812,1528.303363599989,49.83665710000787,0.8306109516667978,False
sub119,AB,1528.5452116,1557.9161796,29.370968000000175,0.48951613333333627,False
sub120,AB,1576.5997424999996,1579.6134038,3.0136613000004218,0.05022768833334036,False
