subject_id,condition,movie_id,target_type,accuracy,rt,log_rt,confidence,condition_enc,target_type_enc,rt_zscore,rt_norm,confidence_norm
sub41,AB,21.0,BB,0,14.088629300007597,2.645368039418837,2,0,0,2.470367035056317,0.4666420783136348,0.25
sub41,AB,6.0,BB,1,20.329052700006287,3.012051030391624,2,0,0,4.290587345798109,0.6774600260803546,0.25
sub41,AB,13.0,BB,0,12.19232839999313,2.500806934276506,3,0,0,1.9172498517759333,0.40258003661157377,0.5
sub41,AB,14.0,BB,1,20.126628799989703,3.0020437541906135,4,0,0,4.231543901055268,0.6706216132924593,0.75
sub41,AB,27.0,BB,1,9.658514099995955,2.267839816516741,3,0,0,1.1781813692585736,0.3169811122264937,0.5
sub41,AB,29.0,BB,1,5.7987981000042055,1.7576506719412794,5,0,0,0.05237098644359974,0.18658973428236192,1.0
sub41,AB,12.0,EM,1,6.057274000006146,1.8012598638926314,5,0,1,0.1277638008191267,0.19532173134294217,1.0
sub41,AB,9.0,EM,0,16.2946840999939,2.7908389257864132,2,0,1,3.113833911605965,0.5411684230475725,0.25
sub41,AB,15.0,BB,1,11.82102259999374,2.469879522617672,3,0,0,1.80894656603169,0.39003634818976446,0.5
sub41,AB,8.0,BB,1,7.007443299997249,1.9469729126929616,5,0,0,0.40491125502671765,0.22742095426667952,1.0
sub41,AB,4.0,EM,0,19.571301699994365,2.9740642942697604,5,0,1,4.0695648810873175,0.6518612004076083,1.0
sub41,AB,11.0,EM,1,5.293184099995415,1.6664199740573782,4,0,1,-0.09510760807157283,0.16950876092340716,0.75
sub41,AB,23.0,EM,1,16.482245199993486,2.802283753065473,1,0,1,3.1685421424167766,0.5475047312831306,0.0
sub41,AB,17.0,BB,1,8.295120900002075,2.115667498581651,3,0,0,0.7805038664537759,0.27092209699655423,0.5
sub41,AB,5.0,EM,1,13.13029529999767,2.5749221785414376,2,0,1,2.1908380833360126,0.43426703030692315,0.25
sub41,AB,30.0,EM,1,5.699335500001325,1.740349589097515,5,0,1,0.023359518297950018,0.18322962554163869,1.0
sub41,AB,28.0,EM,1,7.41207679999934,2.0031106699451664,5,0,1,0.5229356370118408,0.24109054022267795,1.0
